Local time in Beijing / Peking,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.03.2020 23:00,10.4,756.5,759.4,,19,Wind blowing from the north-west,2,,22,, ,,,4.4,26.2,,,,,,30.0,-12.2,No precipitation,6,,,,
18.03.2020 20:00,12.5,753.9,756.8,7.1,21,Wind blowing from the north-northwest,8,,22,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,26.2,,,2500 or more  or no clouds.,,,22.0,-9.2,No precipitation,12,,,,
18.03.2020 17:00,21.8,746.8,749.6,,10,Wind blowing from the north-west,9,,,90  or more  but not 100%,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,26.2,,,1500-2000,,,3.3,-11.2,No precipitation,6,,,,
18.03.2020 14:00,23.0,745.7,748.6,-2.9,15,Wind blowing from the south-west,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,23.3,,,2500 or more  or no clouds.,,,12.0,-5.0,No precipitation,12,,,,
18.03.2020 11:00,16.3,748.6,751.5,,30,Wind blowing from the east-northeast,2,,6,90  or more  but not 100%, ,,,4.4,23.3,,,2500 or more  or no clouds.,,,9.0,-1.3,No precipitation,6,,,,
18.03.2020 08:00,10.1,750.6,753.5,-0.4,47,Wind blowing from the east-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,23.3,,,2500 or more  or no clouds.,,,10.0,-0.7,No precipitation,12,,,,
18.03.2020 05:00,5.2,751.0,753.9,,61,Wind blowing from the north-northwest,0,,7,, ,,,0.8,23.3,,,,,,11.0,-1.9,No precipitation,6,,,,
18.03.2020 02:00,12.2,752.3,755.2,-1.2,35,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.3,,,2500 or more  or no clouds.,,,14.0,-2.8,No precipitation,12,,,,
17.03.2020 23:00,14.7,753.5,756.4,,26,Wind blowing from the south-west,2,,7,, ,,,,23.3,,,,,,14.0,-4.6,No precipitation,6,,,,
17.03.2020 20:00,16.9,754.6,757.6,-0.3,20,Wind blowing from the south-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.3,,,,,,26.0,-6.2,No precipitation,12,,,,
17.03.2020 17:00,22.1,754.9,757.8,,13,Wind blowing from the south-west,4,,6,no clouds, ,,,0.8,23.3,,,,,,30.0,-7.6,No precipitation,6,,,,
17.03.2020 14:00,21.3,756.7,759.6,-2.5,14,Wind blowing from the east-northeast,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,21.7,,,,,,25.0,-7.3,No precipitation,12,,,,
17.03.2020 11:00,17.2,759.2,762.1,,26,Wind blowing from the south,2,,5,20–30%., ,,,0.8,17.4,,,2500 or more  or no clouds.,,,12.0,-2.5,No precipitation,6,,,,
17.03.2020 08:00,7.2,759.6,762.6,0.7,56,Wind blowing from the west-southwest,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,12.9,,,2500 or more  or no clouds.,,,12.0,-1.0,No precipitation,12,,,,
17.03.2020 05:00,1.4,758.9,761.9,,76,Wind blowing from the west-southwest,1,,6,, ,,,0.0,12.9,,,,,,9.0,-2.5,No precipitation,6,,,,
17.03.2020 02:00,3.4,759.4,762.4,0.2,68,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.9,,,2500 or more  or no clouds.,,,9.0,-2.1,No precipitation,12,,,,
16.03.2020 23:00,5.1,759.2,762.2,,62,Wind blowing from the north,1,,7,, ,,,0.0,12.9,,,,,,11.0,-1.6,No precipitation,6,,,,
16.03.2020 20:00,8.5,758.8,761.8,1.1,48,Wind blowing from the north-northwest,0,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.9,,,2500 or more  or no clouds.,,,7.0,-1.9,No precipitation,12,,,,
16.03.2020 17:00,12.5,757.7,760.7,,33,Wind blowing from the south-west,3,,7,60%., ,,,0.0,17.4,,,2500 or more  or no clouds.,,,20.0,-3.3,No precipitation,6,,,,
16.03.2020 14:00,10.3,759.7,762.7,-3.5,33,Wind blowing from the west-southwest,2,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,18.3,,,2500 or more  or no clouds.,,,21.0,-5.3,No precipitation,12,,,,
16.03.2020 11:00,6.0,763.2,766.2,,44,Wind blowing from the north-east,1,,8,90  or more  but not 100%, ,,,0.0,,,,2500 or more  or no clouds.,,,24.0,-5.6,No precipitation,6,,,,
16.03.2020 08:00,1.8,765.2,768.2,,55,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,18.3,,,2500 or more  or no clouds.,,,19.0,-6.3,No precipitation,12,,,,
16.03.2020 05:00,0.7,765.7,768.7,,58,Wind blowing from the east-southeast,2,,9,, ,,,0.6,18.3,,,,,,21.0,-6.8,No precipitation,6,,,,
16.03.2020 02:00,1.9,766.9,769.9,,61,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,18.3,,,2500 or more  or no clouds.,,,17.0,-5.0,No precipitation,12,,,,
15.03.2020 23:00,3.5,766.5,769.5,,58,Wind blowing from the east-southeast,4,,9,, ,,,3.3,18.3,,,,,,24.0,-4.0,No precipitation,6,,,,
15.03.2020 20:00,11.3,763.0,766.0,2.8,35,Wind blowing from the south,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.3,,,,,,30.0,-3.6,No precipitation,12,,,,
15.03.2020 17:00,17.4,760.2,763.1,,18,Wind blowing from the east,3,,11,10%  or less  but not 0, ,,,3.3,18.3,,,1500-2000,,,30.0,-7.2,No precipitation,6,,,,
15.03.2020 14:00,17.6,760.3,763.3,-1.4,18,Wind blowing from the north-northwest,2,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,17.6,,,1500-2000,,,30.0,-7.0,No precipitation,12,,,,
15.03.2020 11:00,15.9,761.7,764.6,,20,Wind blowing from the north-northwest,4,,11,10%  or less  but not 0, ,,,3.3,16.2,,,1500-2000,,,30.0,-7.0,No precipitation,6,,,,
15.03.2020 08:00,11.4,760.7,763.6,2.6,24,Wind blowing from the east,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.2,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
15.03.2020 05:00,4.0,758.1,761.0,,43,Wind blowing from the west,1,,11,, ,,,-0.3,16.2,,,,,,30.0,-7.7,No precipitation,6,,,,
15.03.2020 02:00,10.7,758.3,761.2,-0.3,21,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.2,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
14.03.2020 23:00,13.2,758.6,761.5,,16,Wind blowing from the west-northwest,3,,13,, ,,,,16.2,,,,,,30.0,-12.1,No precipitation,6,,,,
14.03.2020 20:00,14.4,758.8,761.7,1.1,13,Wind blowing from the north-west,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.2,,,,,,30.0,-13.7,No precipitation,12,,,,
14.03.2020 17:00,15.8,757.7,760.7,,11,Wind blowing from the north-west,5,,13,no clouds, ,,,-0.3,16.2,,,,,,30.0,-14.6,No precipitation,6,,,,
14.03.2020 14:00,15.1,759.0,762.0,,11,Wind blowing from the north-west,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.2,,,,,,30.0,-15.2,No precipitation,12,,,,
14.03.2020 08:00,6.4,761.5,764.5,0.0,31,Wind blowing from the north-west,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,12.2,,,2500 or more  or no clouds.,,,21.0,-9.5,No precipitation,12,,,,
14.03.2020 05:00,1.3,761.5,764.5,,44,Wind blowing from the south-southwest,1,,8,, ,,,-1.1,12.2,,,,,,25.0,-9.6,No precipitation,6,,,,
14.03.2020 02:00,1.6,762.9,765.9,-0.7,52,Wind blowing from the south,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,12.2,,,2500 or more  or no clouds.,,,16.0,-7.2,No precipitation,12,,,,
13.03.2020 23:00,5.8,763.6,766.6,,38,Wind blowing from the west-southwest,2,,9,, ,,,-1.1,12.2,,,,,,17.0,-7.4,No precipitation,6,,,,
13.03.2020 20:00,8.7,764.2,767.2,-0.3,32,Wind blowing from the south-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,12.2,,,,,,21.0,-7.1,No precipitation,12,,,,
13.03.2020 17:00,11.3,764.5,767.5,,17,Wind blowing from the west-southwest,5,,9,no clouds, ,,,-1.1,13.7,,,,,,30.0,-12.9,No precipitation,6,,,,
13.03.2020 14:00,10.9,766.3,769.3,,18,Wind blowing from the south-west,4,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,14.3,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
13.03.2020 11:00,8.9,769.7,772.7,,11,Wind blowing from the west,5,,8,20–30%., ,,,-1.1,14.3,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,6,,,,
13.03.2020 08:00,3.7,771.1,774.2,0.9,19,Wind blowing from the east-northeast,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,14.3,,,1500-2000,,,30.0,-17.8,No precipitation,12,,,,
13.03.2020 05:00,2.6,770.2,773.2,,21,Wind blowing from the north-east,2,,9,, ,,,2.5,14.3,,,,,,30.0,-17.5,No precipitation,6,,,,
13.03.2020 02:00,2.8,770.1,773.1,1.2,26,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,14.3,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
12.03.2020 23:00,6.8,768.9,771.9,,35,Wind blowing from the east-northeast,2,,10,, ,,,3.0,14.3,,,,,,29.0,-7.6,No precipitation,6,,,,
12.03.2020 20:00,10.2,765.9,768.9,3.5,16,Wind blowing from the north-east,3,,10,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,14.3,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
12.03.2020 17:00,13.7,762.4,765.4,,17,Wind blowing from the east-northeast,3,,10,90  or more  but not 100%, ,,,3.0,16.2,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,6,,,,
12.03.2020 14:00,14.2,760.9,763.9,0.2,19,Wind blowing from the north-northeast,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,16.5,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
12.03.2020 11:00,12.7,760.7,763.7,,21,Wind blowing from the east-northeast,6,,10,70 – 80%., ,,,3.0,16.5,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,6,,,,
12.03.2020 08:00,9.5,759.0,762.0,2.8,30,Wind blowing from the north-northeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,16.5,,,2500 or more  or no clouds.,,,16.0,-7.2,No precipitation,12,,,,
12.03.2020 05:00,4.6,756.2,759.1,,52,Wind blowing from the north-east,2,,5,, ,,,-1.9,16.5,,,,,,9.0,-4.4,No precipitation,6,,,,
12.03.2020 02:00,4.6,755.1,758.0,-0.1,53,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,16.5,,,2500 or more  or no clouds.,,,10.0,-4.2,No precipitation,12,,,,
11.03.2020 23:00,4.8,755.2,758.2,,57,Calm  no wind,0,,,, ,,,-1.9,16.5,,,,,,9.0,-3.2,No precipitation,6,,,,
11.03.2020 20:00,8.7,755.3,758.3,1.0,41,Wind blowing from the east-northeast,1,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,16.5,,,2500 or more  or no clouds.,,,13.0,-4.1,No precipitation,12,,,,
11.03.2020 17:00,16.2,754.3,757.3,,17,Wind blowing from the south-west,3,,7,60%., ,,,-1.9,16.5,,,2500 or more  or no clouds.,,,18.0,-8.9,No precipitation,6,,,,
11.03.2020 14:00,14.8,755.8,758.8,-2.9,20,Wind blowing from the south-southwest,4,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,14.8,,,2500 or more  or no clouds.,,,14.0,-7.9,No precipitation,12,,,,
11.03.2020 11:00,9.1,758.7,761.7,,29,Wind blowing from the east-southeast,2,,4,20–30%., ,,,-1.9,11.7,,,2500 or more  or no clouds.,,,18.0,-8.0,No precipitation,6,,,,
11.03.2020 08:00,2.5,759.7,762.7,0.3,47,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,11.7,,,,,,24.0,-7.9,No precipitation,12,,,,
11.03.2020 05:00,-1.5,759.4,762.4,,61,Wind blowing from the east-northeast,1,,10,, ,,,-1.6,11.7,,,,,,25.0,-8.2,No precipitation,6,,,,
11.03.2020 02:00,-0.9,760.8,763.8,-0.5,59,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.7,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
10.03.2020 23:00,2.2,761.3,764.3,,39,Wind blowing from the west-southwest,1,,11,, ,,,-0.9,11.7,,,,,,30.0,-10.6,No precipitation,6,,,,
10.03.2020 20:00,7.5,760.7,763.7,,21,Wind blowing from the east,0,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.7,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
10.03.2020 17:00,10.9,760.0,763.0,,10,Wind blowing from the north,5,,11,90  or more  but not 100%, ,,,-0.9,11.7,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,6,,,,
10.03.2020 14:00,10.1,761.2,764.2,,11,Wind blowing from the north-west,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.1,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
10.03.2020 11:00,8.7,762.4,765.4,,13,Wind blowing from the north,5,,11,no clouds, ,,,-0.9,11.1,,,,,,30.0,-18.2,No precipitation,6,,,,
10.03.2020 08:00,6.7,761.6,764.6,0.4,23,Wind blowing from the north-west,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.1,,,,,,23.0,-13.0,No precipitation,12,,,,
10.03.2020 05:00,-0.8,761.2,764.2,,86,Wind blowing from the west,1,,6,, ,,,-0.9,11.1,,,,,,13.0,-2.8,No precipitation,6,,,,
10.03.2020 02:00,0.9,762.5,765.5,,91,Wind blowing from the west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,11.1,,,2500 or more  or no clouds.,,,2.8,-0.4,No precipitation,12,,,,
09.03.2020 20:00,7.6,762.3,765.3,2.0,68,Wind blowing from the south-southeast,1,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,11.1,,,2500 or more  or no clouds.,,,15.0,2.1,No precipitation,12,,,,
09.03.2020 17:00,10.3,760.3,763.3,,58,Wind blowing from the south-southeast,3,,6,90  or more  but not 100%, ,,,5.3,11.1,,,2500 or more  or no clouds.,,,18.0,2.4,No precipitation,6,,,,
09.03.2020 14:00,10.9,761.0,764.0,-1.6,57,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,11.1,,,2500 or more  or no clouds.,,,18.0,2.7,0.5,12,,,,
09.03.2020 11:00,8.0,762.6,765.6,,75,Wind blowing from the east,3,,6,100%., ,,,4.3,8.1,,,1500-2000,,,14.0,3.7,No precipitation,6,,,,
09.03.2020 08:00,6.9,761.2,764.2,1.9,84,Wind blowing from the north-northeast,2,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,6.9,,,1000-1500,,,3.2,4.4,2.0,12,,,,
09.03.2020 05:00,5.4,759.3,762.3,,92,Wind blowing from the north-east,2,,4,,Rain (not freezing) not falling as shower(s). ,,,,6.1,,,,,,1.5,4.2,2.0,6,,,,
09.03.2020 02:00,5.4,759.7,762.7,-0.2,94,Wind blowing from the east,0,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.1,,,2500 or more  or no clouds.,,,0.8,4.5,3.0,12,,,,
08.03.2020 23:00,5.5,759.9,762.9,,93,Wind blowing from the north-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.5,6.7,,,,,,1.1,4.5,1.0,6,,,,
08.03.2020 20:00,5.6,759.2,762.2,1.2,91,Wind blowing from the north-northeast,1,,4,no clouds,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,,,,,,,1.3,4.2,1.0,12,,,,
08.03.2020 17:00,6.0,758.0,761.0,,83,Wind blowing from the east-northeast,2,,,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,,,,300-600,,,2.1,3.3,No precipitation,6,,,,
08.03.2020 14:00,5.7,758.3,761.3,-1.9,82,Wind blowing from the north-east,1,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,,,,300-600,,,2.5,2.9,No precipitation,12,,,,
08.03.2020 11:00,4.3,760.2,763.2,,91,Wind blowing from the south-southeast,2,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,,,,100-200,,,1.4,3.0,No precipitation,6,,,,
08.03.2020 08:00,3.8,760.0,763.0,0.6,94,Wind blowing from the east-southeast,2,,9,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,15.6,,,2500 or more  or no clouds.,,,0.9,2.9,No precipitation,12,,,,
08.03.2020 05:00,3.6,759.4,762.4,,94,Wind blowing from the east-southeast,2,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,1.1,15.6,,,,,,0.7,2.7,No precipitation,6,,,,
08.03.2020 02:00,4.3,759.8,762.8,0.2,88,Wind blowing from the east,2,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.6,,,2500 or more  or no clouds.,,,1.5,2.5,No precipitation,12,,,,
07.03.2020 23:00,6.8,759.6,762.6,,74,Wind blowing from the south-southeast,2,,9,,Haze. ,,,1.1,15.6,,,,,,2.4,2.5,No precipitation,6,,,,
07.03.2020 20:00,10.5,759.1,762.1,1.2,52,Wind blowing from the south-east,2,,,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.6,,,2500 or more  or no clouds.,,,4.0,1.1,No precipitation,12,,,,
07.03.2020 17:00,14.9,757.9,760.9,,19,Wind blowing from the south,2,,7,50%., ,,,1.1,15.6,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,6,,,,
07.03.2020 14:00,14.6,759.2,762.2,-1.5,22,Wind blowing from the east-northeast,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,14.7,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
07.03.2020 11:00,11.1,760.7,763.7,,34,Wind blowing from the east-northeast,4,,7,no clouds, ,,,1.1,11.1,,,,,,25.0,-4.2,No precipitation,6,,,,
07.03.2020 08:00,4.9,760.5,763.5,1.5,75,Wind blowing from the north-east,3,,7,20–30%.,Haze. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,10.3,,,2500 or more  or no clouds.,,,4.2,0.7,0.2,12,,,,
07.03.2020 05:00,1.6,759.0,762.0,,91,Wind blowing from the north-east,1,,7,,Mist. ,,,-1.0,10.3,,,,,,1.2,0.3,No precipitation,6,,,,
07.03.2020 02:00,3.4,758.6,761.6,0.4,89,Wind blowing from the north,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.3,,,2500 or more  or no clouds.,,,1.7,1.8,0.9,12,,,,
06.03.2020 23:00,6.2,758.2,761.2,,75,Calm  no wind,0,,,,Haze. ,,,-1.0,10.3,,,,,,2.9,2.1,0.9,6,,,,
06.03.2020 20:00,7.5,758.2,761.2,1.8,72,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.3,,,1000-1500,,,2.6,2.8,0.7,12,,,,
06.03.2020 17:00,10.1,756.4,759.4,,51,Wind blowing from the north,2,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.3,,,2500 or more  or no clouds.,,,4.0,0.2,No precipitation,6,,,,
06.03.2020 14:00,10.1,756.7,759.7,-1.6,48,Wind blowing from the north-east,2,,4,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.2,,,1000-1500,,,4.3,-0.4,No precipitation,12,,,,
06.03.2020 11:00,6.5,758.3,761.3,,51,Wind blowing from the north-east,2,,4,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,9.3,,,2500 or more  or no clouds.,,,5.0,-2.9,No precipitation,6,,,,
06.03.2020 08:00,1.7,759.1,762.2,0.4,61,Wind blowing from the east-northeast,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,9.3,,,2500 or more  or no clouds.,,,9.0,-5.2,No precipitation,12,,,,
06.03.2020 05:00,-0.4,758.7,761.7,,72,Wind blowing from the east-northeast,1,,6,,Haze. ,,,-3.1,9.3,,,,,,7.0,-4.8,No precipitation,6,,,,
06.03.2020 02:00,1.2,760.0,763.0,-0.6,63,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,9.3,,,2500 or more  or no clouds.,,,9.0,-5.1,No precipitation,12,,,,
05.03.2020 23:00,3.7,760.6,763.6,,50,Wind blowing from the east-northeast,1,,11,, ,,,-3.1,9.3,,,,,,12.0,-6.0,No precipitation,6,,,,
05.03.2020 20:00,4.5,761.0,764.1,-0.1,44,Wind blowing from the east,0,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,9.3,,,2500 or more  or no clouds.,,,14.0,-6.7,No precipitation,12,,,,
05.03.2020 17:00,8.9,761.1,764.2,,27,Wind blowing from the south-west,3,,,90  or more  but not 100%, ,,,-3.1,9.3,,,2500 or more  or no clouds.,,,15.0,-9.1,No precipitation,6,,,,
05.03.2020 14:00,8.5,763.0,766.0,-3.1,23,Wind blowing from the south-southwest,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,9.1,,,2500 or more  or no clouds.,,,24.0,-11.4,No precipitation,12,,,,
